2025-03-21 20:49:53 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 20:50:00 [http-nio-8080-exec-5] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [jakarta.servlet.ServletException: Handler dispatch failed: java.lang.NoSuchMethodError: 'void org.springframework.web.method.ControllerAdviceBean.<init>(java.lang.Object)']
2025-03-21 20:50:02 [http-nio-8080-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [jakarta.servlet.ServletException: Handler dispatch failed: java.lang.NoSuchMethodError: 'void org.springframework.web.method.ControllerAdviceBean.<init>(java.lang.Object)']
2025-03-21 20:51:37 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:51:37 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:51:37 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 20:52:52 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:52:52 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:52:52 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 20:53:05 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [jakarta.servlet.ServletException: Handler dispatch failed: java.lang.NoSuchMethodError: 'void org.springframework.web.method.ControllerAdviceBean.<init>(java.lang.Object)']
2025-03-21 20:53:16 [http-nio-8080-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [jakarta.servlet.ServletException: Handler dispatch failed: java.lang.NoSuchMethodError: 'void org.springframework.web.method.ControllerAdviceBean.<init>(java.lang.Object)']
2025-03-21 20:53:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:53:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:53:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 20:54:06 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [jakarta.servlet.ServletException: Handler dispatch failed: java.lang.NoSuchMethodError: 'void org.springframework.web.method.ControllerAdviceBean.<init>(java.lang.Object)']
2025-03-21 20:57:51 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:57:51 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 20:57:51 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 20:58:02 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [jakarta.servlet.ServletException: Handler dispatch failed: java.lang.NoSuchMethodError: 'void org.springframework.web.method.ControllerAdviceBean.<init>(java.lang.Object)']
2025-03-21 21:00:15 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:00:15 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'sqlSessionFactory' defined in class path resource [com/baomidou/mybatisplus/autoconfigure/MybatisPlusAutoConfiguration.class]: Failed to instantiate [org.apache.ibatis.session.SqlSessionFactory]: Factory method 'sqlSessionFactory' threw exception with message: Failed to parse mapping resource: 'file [/Users/al/IdeaProjects/job-spring-boot/target/classes/mapper/JobCategoryMapper.xml]'
2025-03-21 21:00:17 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:00:17 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:00:17 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:01:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:01:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:01:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:01:33 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:01:33 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:01:33 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:03:03 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:03:03 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:03:03 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:06:50 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:06:50 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:06:50 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:07:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:07:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:07:31 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:12:22 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:12:22 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:12:22 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:12:40 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobCategoryMapper' and 'com.mycompany.jobspringboot.mapper.JobCategoryMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:12:40 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'jobsMapper' and 'com.mycompany.jobspringboot.mapper.JobsMapper' mapperInterface. Bean already defined with the same name!
2025-03-21 21:12:40 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.mycompany.jobspringboot.mapper]' package. Please check your configuration.
2025-03-21 21:14:49 [http-nio-8080-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.mybatis.spring.MyBatisSystemException: <EOL>### Error updating database.  Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named 'category_name' in 'class com.mycompany.jobspringboot.domain.JobCategory'<EOL>### The error may exist in file [/Users/al/IdeaProjects/job-spring-boot/target/classes/mapper/JobCategoryMapper.xml]<EOL>### The error may involve com.mycompany.jobspringboot.mapper.JobCategoryMapper.updateByPrimaryKey-Inline<EOL>### The error occurred while setting parameters<EOL>### SQL: UPDATE `job_category`         SET             category_name=?,             category_desc=?         WHERE             id = ?<EOL>### Cause: org.apache.ibatis.reflection.ReflectionException: There is no getter for property named 'category_name' in 'class com.mycompany.jobspringboot.domain.JobCategory']
